Provider URN,Registration status,Provision type,Provider name,Provider address 1,Provider address 2,Provider town,Provider postcode,Local authority,Event number,Event date,Event Type Group,Overall effectiveness,"Experiences and progress of, and outcomes for, children and young people",Quality of service,Safeguarding children and young people,Leadership and management,Outcomes for service users,Helping children to be healthy,Protecting children from harm or neglect and helping them stay safe,Helping children to make a positive contribution,Achieving economic wellbeing,Organisation,Quality of Assessment,"Quality of care, support and guidance",Safeguarding,Outcomes for residential pupils,Quality of residential provision and care,Residential pupils' safety,Leadership and management of residential provision,Outcomes for boarders,Quality of boarding provision and care,Boarders' safety,Leadership and management of boarding,Outcomes for young people
SC067733,Active,Adoption Support Agency,The Consultancy,West Grange,Clyst Heath,Exeter,EX2 7EY,Devon,280407,22/11/2013,Full inspection,Outstanding,,Outstanding,Outstanding,Outstanding,Outstanding,,,,,,,,,,,,,,,,,
SC066957,Active,Adoption Support Agency,Adoption UK,"Adoption UK, Linden House","55 The Green, South Bar Street",BANBURY,OX16 9AB,Oxfordshire,279524,06/11/2013,Full inspection,Outstanding,,Outstanding,Outstanding,Outstanding,Outstanding,,,,,,,,,,,,,,,,,
SC067198,Active,Adoption Support Agency,The Children's Society,Block A Unit 201,"Tower Bridge Business Complex, 100 Clements Road",LONDON,SE16 4DG,Southwark,287055,05/02/2014,Full inspection,Good,,Good,Good,Adequate,Good,,,,,,,,,,,,,,,,,
SC446466,Active,Adoption Support Agency,Susan Chantrell - Child & Adolescent Psychotherapist,West Hill House; Highgate Consulting Rooms,6 Swains Lane,Highgate,N6 6QS,Camden,282941,18/12/2013,Full inspection,Adequate,,Good,Adequate,Adequate,Adequate,,,,,,,,,,,,,,,,,
SC067032,Active,Adoption Support Agency,After Adoption Yorkshire,Hollyshaw House,2 Hollyshaw Lane,LEEDS,LS15 7BD,Leeds,281682,28/11/2013,Full inspection,Good,,Good,Good,Good,Good,,,,,,,,,,,,,,,,,
SC397224,Active,Adoption Support Agency,Father Hudson's Society (Adoption Support Agency),Father Hudson's Society,"Coventry Road, Coleshill",BIRMINGHAM,B46 3ED,Warwickshire,286089,28/01/2014,Full inspection,Outstanding,,Outstanding,Good,Outstanding,Outstanding,,,,,,,,,,,,,,,,,
SC459411,Active,Boarding School,The Harefield Academy,Northwood Way,,Harefield,UB9 6ET,Hillingdon,286282,28/01/2014,Full inspection,Adequate,,,,,,,,,,,,,,,,,,Good,Adequate,Inadequate,Adequate,
SC472570,Resigned,Boarding School,Bath Academy,27 Queen Square,,Bath,BA1 2HX,Bath and North East Somerset,276639,07/11/2013,Full inspection,Good,,,,,,,,,,,,,,,,,,Good,Good,Good,Good,
SC367598,Active,Boarding School,"Bellerbys College, Oxford","Bellerbys College, Trajan House",Mill Street,OXFORD,OX2 0DJ,Oxfordshire,290356,11/03/2014,Full inspection,Inadequate,,,,,,,,,,,,,,,,,,Good,Adequate,Inadequate,Inadequate,
SC459408,Active,Boarding School,The Wellington Academy,Tidworth Road,,Tidworth,SP11 9RR,Wiltshire,284820,14/01/2014,Full inspection,Inadequate,,,,,,,,,,,,,,,,,,Good,Good,Inadequate,Inadequate,
SC474566,Active,Boarding School,Kiteridge House Pupil Referral Unit,Kiteridge Education Unit,Verney Avenue,High Wycombe,HP12 3NE,Buckinghamshire,289818,05/03/2014,Full inspection,Good,,,,,,,,,,,,,,,,,,Outstanding,Outstanding,Good,Good,
SC061220,Active,Boarding School,St George's School,St. Georges School,Sun Lane,Harpenden,AL5 4TD,Hertfordshire,274065,15/10/2013,Full inspection,Adequate,,,,,,,,,,,,,,,,,,Good,Good,Adequate,Adequate,
SC063056,Active,Boarding School,Bellerbys College,"Bellerbys College, Bounty House",Stowage,LONDON,SE8 3DE,Greenwich,286156,29/01/2014,Emergency visit,NMS Not Met,,,,,,,,,,,,,,,,,,,,,,
SC014681,Active,Boarding School,Rikkyo School in England,The Rikkyo School in England,"Guildford Road, Rudgwick",Horsham,RH12 3BE,West Sussex,285843,21/01/2014,Full inspection,Good,,,,,,,,,,,,,,,,,,Good,Good,Good,Good,
SC018009,Active,Boarding School,Colchester Royal Grammar School,Colchester Royal Grammar School,6 Lexden Road,COLCHESTER,CO3 3ND,Essex,291057,24/03/2014,Full inspection,Outstanding,,,,,,,,,,,,,,,,,,Outstanding,Outstanding,Outstanding,Outstanding,
