Provider URN,Provider status,Provider type,Sector,Provider name,Provider address 1,Provider address 2,Provider town,Provider postcode,Local Authority,government_office_region_name,Event number,Event date,Event type group,Overall effectiveness,Outcomes in education and related learning activities,Outcomes for children and young people,Quality of care,Safeguarding children and young people,Leadership and management
SC000678,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Northumberland,North East,295257,29/04/2014,Full inspection,3,0,2,2,3,3
SC000802,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Darlington,North East,293832,08/05/2014,Full inspection,3,0,3,3,3,3
SC001041,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Calderdale,Yorkshire and The Humber,293785,07/05/2014,Full inspection,3,0,3,2,2,3
SC002923,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,North East Lincolnshire,Yorkshire and The Humber,296457,04/06/2014,Full inspection,2,0,2,2,2,2
SC005042,Active,Residential special school (>295 days/year),Private,Redacted,Redacted,Redacted,Redacted,Redacted,Staffordshire,West Midlands,296210,28/05/2014,Full inspection,2,0,2,2,2,2
SC005567,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Tameside,North West,296764,05/06/2014,Full inspection,2,0,2,2,2,2
SC008435,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Bury,North West,295498,23/05/2014,Full inspection,2,0,2,2,2,2
SC008485,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Stockport,North West,294914,21/05/2014,Full inspection,2,0,2,2,2,3
SC008486,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Stockport,North West,295605,29/05/2014,Full inspection,4,0,4,4,4,4
SC008492,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Stockport,North West,292263,04/04/2014,Full inspection,3,0,3,3,3,3
SC010699,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Enfield,London,295621,29/05/2014,Full inspection,3,0,2,2,3,3
SC013613,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Surrey,South East,293457,25/04/2014,Full inspection,3,0,3,2,3,3
SC014650,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,West Sussex,South East,294915,13/05/2014,Full inspection,2,0,2,2,2,2
SC016696,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Gloucestershire,South West,295329,27/05/2014,Full inspection,2,0,2,1,2,2
SC017611,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Surrey,South East,293610,29/04/2014,Full inspection,3,0,3,3,3,3
SC018241,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Barnsley,Yorkshire and The Humber,294346,30/04/2014,Full inspection,2,0,2,2,2,3
SC020594,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Shropshire,West Midlands,294966,13/05/2014,Full inspection,4,0,4,4,4,4
SC020610,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Shropshire,West Midlands,295460,28/05/2014,Full inspection,2,0,2,2,2,2
SC021684,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Manchester,North West,294828,14/05/2014,Full inspection,2,0,2,2,2,2
SC022437,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,St Helens,North West,295921,05/06/2014,Full inspection,2,0,2,2,2,2
SC022447,Active,Children's Home,Voluntary,Redacted,Redacted,Redacted,Redacted,Redacted,St Helens,North West,296834,12/06/2014,Full inspection,2,0,3,2,2,2
SC022448,Active,Secure children's home,Voluntary,Redacted,Redacted,Redacted,Redacted,Redacted,St Helens,North West,292953,16/04/2014,Full inspection,3,0,2,2,2,3
SC022729,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Lambeth,London,294199,14/05/2014,Interim inspection,4,0,0,0,0,0
SC024092,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Kent,South East,296273,03/06/2014,Full inspection,4,0,4,4,4,4
SC024987,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Dudley,West Midlands,295087,22/05/2014,Full inspection,4,0,4,4,4,4
SC025008,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Dudley,West Midlands,295717,03/06/2014,Interim inspection,3,0,0,0,0,0
SC025417,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Liverpool,North West,295905,02/06/2014,Full inspection,2,0,2,2,2,2
SC025420,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Liverpool,North West,296518,09/06/2014,Full inspection,2,0,2,2,2,2
SC025744,Active,Children's Home,Voluntary,Redacted,Redacted,Redacted,Redacted,Redacted,Stockport,North West,293435,25/04/2014,Full inspection,2,0,2,1,2,2
SC027253,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Merton,London,295259,29/05/2014,Full inspection,3,0,3,3,3,4
SC028505,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Surrey,South East,296349,05/06/2014,Full inspection,2,0,1,2,2,2
SC028868,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Gloucestershire,South West,295116,21/05/2014,Full inspection,2,0,2,2,3,2
SC031490,Active,Secure children's home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,East Sussex,South East,297365,24/06/2014,Interim inspection,3,0,0,0,0,0
SC032439,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Wiltshire,South West,293450,02/05/2014,Full inspection,2,0,2,2,2,2
SC068827,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Surrey,South East,294534,14/05/2014,Full inspection,2,0,2,2,2,4
SC055357,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Sunderland,North East,296286,04/06/2014,Full inspection,2,0,2,2,2,2
SC381085,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Stoke-on-Trent,West Midlands,294654,15/05/2014,Full inspection,3,0,3,2,2,3
SC378153,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Staffordshire,West Midlands,295181,21/05/2014,Full inspection,4,0,3,3,4,4
SC033009,Active,Children's Home,Private,Redacted,Redacted,Redacted,Redacted,Redacted,Somerset,South West,296934,18/06/2014,Full inspection,3,0,3,3,3,4
SC035971,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,St Helens,North West,296969,12/06/2014,Full inspection,2,0,1,1,2,2
SC033362,Active,Secure children's home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Peterborough,East of England,294589,14/05/2014,Full inspection,2,2,2,2,2,2
SC065486,Active,Children's Home,Local authority,Redacted,Redacted,Redacted,Redacted,Redacted,Slough,South East,294867,21/05/2014,Full inspection,3,0,3,2,3,2
